FROM,TO,VEC,TO-FIPS,FROM-FIPS,COUNT
SANTA ROSA CA,STOCKTON CA,SANTA ROSA CA to STOCKTON CA,06077,06097,1
BUTTE CO CA,SACRAMENTO CA,BUTTE CO CA to SACRAMENTO CA,06067,06007,2
SACRAMENTO CO CA,SAN JOSE CA,SACRAMENTO CO CA to SAN JOSE CA,06085,06067,1
CHICO CA,SACRAMENTO CA,CHICO CA to SACRAMENTO CA,06067,06007,3
MENDOCINO CO CA,WINDSOR CA,MENDOCINO CO CA to WINDSOR CA,06097,06045,2
PLACER CO CA,STOCKTON CA,PLACER CO CA to STOCKTON CA,06077,06061,1
IRVINE CA,SAN DIEGO CA,IRVINE CA to SAN DIEGO CA,06073,06059,2
KENSINGTON CA,SACRAMENTO CA,KENSINGTON CA to SACRAMENTO CA,06067,06013,1
TUSTIN CA,SAN DIEGO CA,TUSTIN CA to SAN DIEGO CA,06073,06059,1
COLUSA CO CA,ELK GROVE CA,COLUSA CO CA to ELK GROVE CA,06067,06011,1
OAKLAND CA,SACRAMENTO CA,OAKLAND CA to SACRAMENTO CA,06067,06001,1
MURRIETA CA,LONG BEACH CA,MURRIETA CA to LONG BEACH CA,06037,06065,1
CERES CA,SACRAMENTO CA,CERES CA to SACRAMENTO CA,06067,06099,1
ORANGE CO CA,SAN DIEGO CA,ORANGE CO CA to SAN DIEGO CA,06073,06059,2
STANISLAUS CO CA,SACRAMENTO CA,STANISLAUS CO CA to SACRAMENTO CA,06067,06099,1
SAN FRANCISCO CA,STOCKTON CA,SAN FRANCISCO CA to STOCKTON CA,06077,06075,1
SAN FRANCISCO CA,SACRAMENTO CA,SAN FRANCISCO CA to SACRAMENTO CA,06067,06075,1
LOS BANOS CA,SAN JOSE CA,LOS BANOS CA to SAN JOSE CA,06085,06047,2
LOS BANOS CA,STOCKTON CA,LOS BANOS CA to STOCKTON CA,06077,06047,2
MANTECA CA,SAN JOSE CA,MANTECA CA to SAN JOSE CA,06085,06077,1
SOUTH SAN FRANCISCO CA,ELK GROVE CA,SOUTH SAN FRANCISCO CA to ELK GROVE CA,06067,06081,1
BERKELEY CA,SACRAMENTO CA,BERKELEY CA to SACRAMENTO CA,06067,06001,2
AUBURN CA,STOCKTON CA,AUBURN CA to STOCKTON CA,06077,06061,1
HERMOSA BEACH CA,SAN BERNARDINO CA,HERMOSA BEACH CA to SAN BERNARDINO CA,06071,06037,1
STANISLAUS CO CA,EMERYVILLE CA,STANISLAUS CO CA to EMERYVILLE CA,06001,06099,1
SACRAMENTO CA,HAYWARD CA,SACRAMENTO CA to HAYWARD CA,06001,06067,3
MANTECA CA,SAN MATEO CO CA,MANTECA CA to SAN MATEO CO CA,06081,06077,1
EL CERRITO CA,SACRAMENTO CA,EL CERRITO CA to SACRAMENTO CA,06067,06013,1
MERCED CA,STOCKTON CA,MERCED CA to STOCKTON CA,06077,06047,1
MERCED CO CA,STOCKTON CA,MERCED CO CA to STOCKTON CA,06077,06047,1
TUOLUMNE CO CA,STOCKTON CA,TUOLUMNE CO CA to STOCKTON CA,06077,06109,4
MODESTO CA,SACRAMENTO CA,MODESTO CA to SACRAMENTO CA,06067,06099,1
SACRAMENTO CO CA,HAYWARD CA,SACRAMENTO CO CA to HAYWARD CA,06001,06067,1
TURLOCK CA,CONCORD CA,TURLOCK CA to CONCORD CA,06013,06099,1
OAKLAND CA,STOCKTON CA,OAKLAND CA to STOCKTON CA,06077,06001,1
STOCKTON CA,SAN MATEO CO CA,STOCKTON CA to SAN MATEO CO CA,06081,06077,1
FAIRFAX CA,SONOMA CO CA,FAIRFAX CA to SONOMA CO CA,06097,06041,1
GONZALES CA,SAN JOSE CA,GONZALES CA to SAN JOSE CA,06085,06053,1
SACRAMENTO CO CA,ALAMEDA CA,SACRAMENTO CO CA to ALAMEDA CA,06001,06067,1
SOLEDAD CA,SAN JOSE CA,SOLEDAD CA to SAN JOSE CA,06085,06053,1
ALAMEDA CA,STOCKTON CA,ALAMEDA CA to STOCKTON CA,06077,06001,1
PACIFICA CA,STOCKTON CA,PACIFICA CA to STOCKTON CA,06077,06081,1
ANTIOCH CA,ROHNERT PARK CA,ANTIOCH CA to ROHNERT PARK CA,06097,06013,1
MODESTO CA,HAYWARD CA,MODESTO CA to HAYWARD CA,06001,06099,3
SAN RAFAEL CA,STOCKTON CA,SAN RAFAEL CA to STOCKTON CA,06077,06041,1
SACRAMENTO CO CA,EMERYVILLE CA,SACRAMENTO CO CA to EMERYVILLE CA,06001,06067,1
ROHNERT PARK CA,SACRAMENTO CA,ROHNERT PARK CA to SACRAMENTO CA,06067,06097,1
SACRAMENTO CA,EMERYVILLE CA,SACRAMENTO CA to EMERYVILLE CA,06001,06067,1
BARSTOW CA,SAN BERNARDINO CA,BARSTOW CA to SAN BERNARDINO CA,06071,06071,2
SAN BERNARDINO CO CA,LONG BEACH CA,SAN BERNARDINO CO CA to LONG BEACH CA,06037,06071,5
STOCKTON CA,NEWARK CA,STOCKTON CA to NEWARK CA,06001,06077,1
LONG BEACH CA,SAN BERNARDINO CA,LONG BEACH CA to SAN BERNARDINO CA,06071,06037,3
STOCKTON CA,NAPA CA,STOCKTON CA to NAPA CA,06055,06077,1
COLUSA CO CA,SACRAMENTO CA,COLUSA CO CA to SACRAMENTO CA,06067,06011,1
EL SEGUNDO CA,SAN BERNARDINO CA,EL SEGUNDO CA to SAN BERNARDINO CA,06071,06037,1
NAPA CA,ELK GROVE CA,NAPA CA to ELK GROVE CA,06067,06055,1
SAN JOSE CA,ANTIOCH CA,SAN JOSE CA to ANTIOCH CA,06013,06085,1
MARTINEZ CA,SACRAMENTO CA,MARTINEZ CA to SACRAMENTO CA,06067,06013,1
RICHMOND CA,SACRAMENTO CA,RICHMOND CA to SACRAMENTO CA,06067,06013,1
STOCKTON CA,SAN JOSE CA,STOCKTON CA to SAN JOSE CA,06085,06077,4
OROVILLE CA,SACRAMENTO CA,OROVILLE CA to SACRAMENTO CA,06067,06007,1
LOS ANGELES CA,SAN BERNARDINO CA,LOS ANGELES CA to SAN BERNARDINO CA,06071,06037,3
MARINA CA,SAN JOSE CA,MARINA CA to SAN JOSE CA,06085,06053,1
SAN PABLO CA,SACRAMENTO CA,SAN PABLO CA to SACRAMENTO CA,06067,06013,1
SAN MATEO CA,STOCKTON CA,SAN MATEO CA to STOCKTON CA,06077,06081,1
BARSTOW CA,FONTANA CA,BARSTOW CA to FONTANA CA,06071,06071,1
FONTANA CA,LONG BEACH CA,FONTANA CA to LONG BEACH CA,06037,06071,1
SAN JOAQUIN CO CA,ALAMEDA CA,SAN JOAQUIN CO CA to ALAMEDA CA,06001,06077,1
LOS ANGELES CO CA,SACRAMENTO CA,LOS ANGELES CO CA to SACRAMENTO CA,06067,06037,1
SAN CARLOS CA,STOCKTON CA,SAN CARLOS CA to STOCKTON CA,06077,06081,1
SAN JOAQUIN CO CA,FREMONT CA,SAN JOAQUIN CO CA to FREMONT CA,06001,06077,1
STOCKTON CA,REDWOOD CA,STOCKTON CA to REDWOOD CA,,06077,1
CONCORD CA,SACRAMENTO CA,CONCORD CA to SACRAMENTO CA,06067,06013,1
CONTRA COSTA CO CA,SAN JOSE CA,CONTRA COSTA CO CA to SAN JOSE CA,06085,06013,1
FOLSOM CA,STOCKTON CA,FOLSOM CA to STOCKTON CA,06077,06067,2
LOS ANGELES CO CA,SAN BERNARDINO CA,LOS ANGELES CO CA to SAN BERNARDINO CA,06071,06037,5
CONTRA COSTA CO CA,STOCKTON CA,CONTRA COSTA CO CA to STOCKTON CA,06077,06013,3
MANHATTAN BEACH CA,FONTANA CA,MANHATTAN BEACH CA to FONTANA CA,06071,06037,1
SACRAMENTO CO CA,CONCORD CA,SACRAMENTO CO CA to CONCORD CA,06013,06067,1
MANTECA CA,SACRAMENTO CA,MANTECA CA to SACRAMENTO CA,06067,06077,1
PINOLE CA,SACRAMENTO CA,PINOLE CA to SACRAMENTO CA,06067,06013,1
TRACY CA,SACRAMENTO CA,TRACY CA to SACRAMENTO CA,06067,06077,2
TURLOCK CA,SAN JOSE CA,TURLOCK CA to SAN JOSE CA,06085,06099,1
LIVERMORE CA,SOLANO CO CA,LIVERMORE CA to SOLANO CO CA,06095,06001,1
ROCKLIN CA,STOCKTON CA,ROCKLIN CA to STOCKTON CA,06077,06061,1
TRACY CA,SAN MATEO CO CA,TRACY CA to SAN MATEO CO CA,06081,06077,1
FREMONT CA,STOCKTON CA,FREMONT CA to STOCKTON CA,06077,06001,1
VALLEJO CA,SAN JOSE CA,VALLEJO CA to SAN JOSE CA,06085,06095,3
BENICIA CA,STOCKTON CA,BENICIA CA to STOCKTON CA,06077,06095,1
MONTEBELLO CA,SAN BERNARDINO CA,MONTEBELLO CA to SAN BERNARDINO CA,06071,06037,1
SAN JOAQUIN CO CA,SAN JOSE CA,SAN JOAQUIN CO CA to SAN JOSE CA,06085,06077,2
SACRAMENTO CO CA,ANTIOCH CA,SACRAMENTO CO CA to ANTIOCH CA,06013,06067,1
GRASS VALLEY CA,SACRAMENTO CA,GRASS VALLEY CA to SACRAMENTO CA,06067,06057,2
COSTA MESA CA,SAN BERNARDINO CA,COSTA MESA CA to SAN BERNARDINO CA,06071,06059,1
SONOMA CO CA,NAPA CA,SONOMA CO CA to NAPA CA,06055,06097,2
SAN JOAQUIN CO CA,CONCORD CA,SAN JOAQUIN CO CA to CONCORD CA,06013,06077,3
FREMONT CA,ANTIOCH CA,FREMONT CA to ANTIOCH CA,06013,06001,1
SACRAMENTO CA,ANTIOCH CA,SACRAMENTO CA to ANTIOCH CA,06013,06067,1
SAN JOAQUIN CO CA,HAYWARD CA,SAN JOAQUIN CO CA to HAYWARD CA,06001,06077,1
FAIRFIELD CA,ELK GROVE CA,FAIRFIELD CA to ELK GROVE CA,06067,06095,1
LODI CA,CONCORD CA,LODI CA to CONCORD CA,06013,06077,1
NAPA CA,HAYWARD CA,NAPA CA to HAYWARD CA,06001,06055,1
LOS ANGELES CA,RIVERSIDE CA,LOS ANGELES CA to RIVERSIDE CA,06065,06037,1
SAN JOSE CA,STOCKTON CA,SAN JOSE CA to STOCKTON CA,06077,06085,3
MARYSVILLE CA,ELK GROVE CA,MARYSVILLE CA to ELK GROVE CA,06067,06115,1
SAN BERNARDINO CA,LONG BEACH CA,SAN BERNARDINO CA to LONG BEACH CA,06037,06071,2
VALLEJO CA,STOCKTON CA,VALLEJO CA to STOCKTON CA,06077,06095,1
FAIRFIELD CA,STOCKTON CA,FAIRFIELD CA to STOCKTON CA,06077,06095,1
CONTRA COSTA CO CA,EMERYVILLE CA,CONTRA COSTA CO CA to EMERYVILLE CA,06001,06013,1
RIVERBANK CA,ELK GROVE CA,RIVERBANK CA to ELK GROVE CA,06067,06099,1
VALLEJO CA,SACRAMENTO CA,VALLEJO CA to SACRAMENTO CA,06067,06095,2
CONCORD CA,STOCKTON CA,CONCORD CA to STOCKTON CA,06077,06013,1
CONCORD CA,SAN MATEO CO CA,CONCORD CA to SAN MATEO CO CA,06081,06013,1
ANTIOCH CA,SACRAMENTO CA,ANTIOCH CA to SACRAMENTO CA,06067,06013,2
FAIRFIELD CA,DALY CITY CA,FAIRFIELD CA to DALY CITY CA,06081,06095,1
SAN JOAQUIN CO CA,MARTINEZ CA,SAN JOAQUIN CO CA to MARTINEZ CA,06013,06077,1
SAN FRANCISCO CA,SAN JOSE CA,SAN FRANCISCO CA to SAN JOSE CA,06085,06075,2
PLACER CO CA,SACRAMENTO CA,PLACER CO CA to SACRAMENTO CA,06067,06061,9
DOWNEY CA,RIVERSIDE CA,DOWNEY CA to RIVERSIDE CA,06065,06037,1
ALAMEDA CO CA,BRENTWOOD CA,ALAMEDA CO CA to BRENTWOOD CA,06013,06001,1
HAYWARD CA,STOCKTON CA,HAYWARD CA to STOCKTON CA,06077,06001,2
STOCKTON CA,HAYWARD CA,STOCKTON CA to HAYWARD CA,06001,06077,3
HEMET CA,FONTANA CA,HEMET CA to FONTANA CA,06071,06065,1
CERES CA,STOCKTON CA,CERES CA to STOCKTON CA,06077,06099,1
LOS ANGELES CO CA,FONTANA CA,LOS ANGELES CO CA to FONTANA CA,06071,06037,4
SAN JOAQUIN CO CA,SACRAMENTO CA,SAN JOAQUIN CO CA to SACRAMENTO CA,06067,06077,4
BERKELEY CA,SAN JOSE CA,BERKELEY CA to SAN JOSE CA,06085,06001,1
HOLLISTER CA,SAN JOSE CA,HOLLISTER CA to SAN JOSE CA,06085,06069,1
PASADENA CA,SAN BERNARDINO CA,PASADENA CA to SAN BERNARDINO CA,06071,06037,2
STOCKTON CA,MILPITAS CA,STOCKTON CA to MILPITAS CA,06085,06077,1
MILLBRAE CA,MILPITAS CA,MILLBRAE CA to MILPITAS CA,06085,06081,1
UNION CITY CA,STOCKTON CA,UNION CITY CA to STOCKTON CA,06077,06001,1
LOS ANGELES CA,FONTANA CA,LOS ANGELES CA to FONTANA CA,06071,06037,2
ANTIOCH CA,HAYWARD CA,ANTIOCH CA to HAYWARD CA,06001,06013,2
HAYWARD CA,ANTIOCH CA,HAYWARD CA to ANTIOCH CA,06013,06001,1
LODI CA,ANTIOCH CA,LODI CA to ANTIOCH CA,06013,06077,1
PITTSBURG CA,SAN JOSE CA,PITTSBURG CA to SAN JOSE CA,06085,06013,1
BALDWIN PARK CA,FONTANA CA,BALDWIN PARK CA to FONTANA CA,06071,06037,1
YUBA CO CA,SACRAMENTO CA,YUBA CO CA to SACRAMENTO CA,06067,06115,3
DALY CITY CA,DUBLIN CA,DALY CITY CA to DUBLIN CA,06001,06081,1
AMADOR CO CA,STOCKTON CA,AMADOR CO CA to STOCKTON CA,06077,06005,2
IRVINE CA,RIVERSIDE CA,IRVINE CA to RIVERSIDE CA,06065,06059,1
BANNING CA,RIVERSIDE CA,BANNING CA to RIVERSIDE CA,06065,06065,1
SAN FRANCISCO CA,NAPA CA,SAN FRANCISCO CA to NAPA CA,06055,06075,2
BERKELEY CA,ANTIOCH CA,BERKELEY CA to ANTIOCH CA,06013,06001,1
SUISUN CITY CA,STOCKTON CA,SUISUN CITY CA to STOCKTON CA,06077,06095,2
WEST SACRAMENTO CA,STOCKTON CA,WEST SACRAMENTO CA to STOCKTON CA,06077,06113,1
CORONA CA,LONG BEACH CA,CORONA CA to LONG BEACH CA,06037,06065,1
SUTTER CO CA,ELK GROVE CA,SUTTER CO CA to ELK GROVE CA,06067,06101,1
RIVERSIDE CO CA,LONG BEACH CA,RIVERSIDE CO CA to LONG BEACH CA,06037,06065,4
RIVERSIDE CA,LONG BEACH CA,RIVERSIDE CA to LONG BEACH CA,06037,06065,1
ANTIOCH CA,STOCKTON CA,ANTIOCH CA to STOCKTON CA,06077,06013,4
SACRAMENTO CA,STOCKTON CA,SACRAMENTO CA to STOCKTON CA,06077,06067,12
STOCKTON CA,SACRAMENTO CA,STOCKTON CA to SACRAMENTO CA,06067,06077,10
ALBANY CA,PLEASANTON CA,ALBANY CA to PLEASANTON CA,06001,06001,1
HEMET CA,RIVERSIDE CA,HEMET CA to RIVERSIDE CA,06065,06065,2
TULARE CO CA,KERN CO CA,TULARE CO CA to KERN CO CA,06029,06107,1
MARYSVILLE CA,SACRAMENTO CA,MARYSVILLE CA to SACRAMENTO CA,06067,06115,1
OCEANSIDE CA,EL CAJON CA,OCEANSIDE CA to EL CAJON CA,06073,06073,1
SAN MATEO CO CA,CONCORD CA,SAN MATEO CO CA to CONCORD CA,06013,06081,1
CALAVERAS CO CA,STOCKTON CA,CALAVERAS CO CA to STOCKTON CA,06077,06009,5
EL CERRITO CA,MENLO PARK CA,EL CERRITO CA to MENLO PARK CA,06081,06013,1
SUNNYVALE CA,BRENTWOOD CA,SUNNYVALE CA to BRENTWOOD CA,06013,06085,1
MODESTO CA,STOCKTON CA,MODESTO CA to STOCKTON CA,06077,06099,7
NAPA CO CA,SACRAMENTO CA,NAPA CO CA to SACRAMENTO CA,06067,06055,1
NEVADA CO CA,SACRAMENTO CA,NEVADA CO CA to SACRAMENTO CA,06067,06057,3
DIXON CA,STOCKTON CA,DIXON CA to STOCKTON CA,06077,06095,1
FREMONT CA,DALY CITY CA,FREMONT CA to DALY CITY CA,06081,06001,2
LIVERMORE CA,STOCKTON CA,LIVERMORE CA to STOCKTON CA,06077,06001,1
STOCKTON CA,SOLANO CO CA,STOCKTON CA to SOLANO CO CA,06095,06077,1
ORANGE CO CA,SAN BERNARDINO CA,ORANGE CO CA to SAN BERNARDINO CA,06071,06059,2
ANAHEIM CA,SAN BERNARDINO CA,ANAHEIM CA to SAN BERNARDINO CA,06071,06059,1
TURLOCK CA,STOCKTON CA,TURLOCK CA to STOCKTON CA,06077,06099,2
CALISTOGA CA,SONOMA CO CA,CALISTOGA CA to SONOMA CO CA,06097,06055,1
ALAMEDA CO CA,ANTIOCH CA,ALAMEDA CO CA to ANTIOCH CA,06013,06001,1
EMERYVILLE CA,MARIN CO CA,EMERYVILLE CA to MARIN CO CA,06041,06001,1
FAIRFIELD CA,SACRAMENTO CA,FAIRFIELD CA to SACRAMENTO CA,06067,06095,4
RIVERSIDE CA,HUNTINGTON BEACH CA,RIVERSIDE CA to HUNTINGTON BEACH CA,06059,06065,1
YUBA CITY CA,SACRAMENTO CA,YUBA CITY CA to SACRAMENTO CA,06067,06101,2
BEAUMONT CA,RIVERSIDE CA,BEAUMONT CA to RIVERSIDE CA,06065,06065,1
NAPA CA,CONCORD CA,NAPA CA to CONCORD CA,06013,06055,1
STOCKTON CA,CONCORD CA,STOCKTON CA to CONCORD CA,06013,06077,2
FAIRFIELD CA,ALAMEDA CA,FAIRFIELD CA to ALAMEDA CA,06001,06095,1
GALT CA,SACRAMENTO CA,GALT CA to SACRAMENTO CA,06067,06067,1
SAN FRANCISCO CA,ANTIOCH CA,SAN FRANCISCO CA to ANTIOCH CA,06013,06075,1
ALAMEDA CO CA,SAN JOSE CA,ALAMEDA CO CA to SAN JOSE CA,06085,06001,2
CONTRA COSTA CO CA,HAYWARD CA,CONTRA COSTA CO CA to HAYWARD CA,06001,06013,1
CLOVERDALE CA,ROHNERT PARK CA,CLOVERDALE CA to ROHNERT PARK CA,06097,06097,1
MONTCLAIR CA,SAN BERNARDINO CA,MONTCLAIR CA to SAN BERNARDINO CA,06071,06071,1
BRENTWOOD CA,VALLEJO CA,BRENTWOOD CA to VALLEJO CA,06095,06013,1
HAYWARD CA,SAN JOSE CA,HAYWARD CA to SAN JOSE CA,06085,06001,1
FAIRFIELD CA,ANTIOCH CA,FAIRFIELD CA to ANTIOCH CA,06013,06095,1
DAVIS CA,NAPA CA,DAVIS CA to NAPA CA,06055,06113,1
TRACY CA,SAN JOSE CA,TRACY CA to SAN JOSE CA,06085,06077,1
SAN RAFAEL CA,DUBLIN CA,SAN RAFAEL CA to DUBLIN CA,06001,06041,1
COTATI CA,SONOMA CO CA,COTATI CA to SONOMA CO CA,06097,06097,1
ANTIOCH CA,SOLANO CO CA,ANTIOCH CA to SOLANO CO CA,06095,06013,1
LINCOLN CA,SACRAMENTO CA,LINCOLN CA to SACRAMENTO CA,06067,06061,3
OAKLAND CA,ANTIOCH CA,OAKLAND CA to ANTIOCH CA,06013,06001,1
LOS ANGELES CO CA,ONTARIO CA,LOS ANGELES CO CA to ONTARIO CA,06071,06037,2
LOS ANGELES CO CA,OXNARD CA,LOS ANGELES CO CA to OXNARD CA,06111,06037,1
CARLSBAD CA,SAN DIEGO CA,CARLSBAD CA to SAN DIEGO CA,06073,06073,6
NOVATO CA,WINDSOR CA,NOVATO CA to WINDSOR CA,06097,06041,1
ESCONDIDO CA,CHULA VISTA CA,ESCONDIDO CA to CHULA VISTA CA,06073,06073,1
FAIRFIELD CA,PINOLE CA,FAIRFIELD CA to PINOLE CA,06013,06095,1
SAN JOAQUIN CO CA,ELK GROVE CA,SAN JOAQUIN CO CA to ELK GROVE CA,06067,06077,2
REDWOOD CITY CA,CONCORD CA,REDWOOD CITY CA to CONCORD CA,06013,06081,1
MURRIETA CA,RIVERSIDE CA,MURRIETA CA to RIVERSIDE CA,06065,06065,1
SACRAMENTO CO CA,STOCKTON CA,SACRAMENTO CO CA to STOCKTON CA,06077,06067,8
RICHMOND CA,SOLANO CO CA,RICHMOND CA to SOLANO CO CA,06095,06013,1
MARIN CO CA,VALLEJO CA,MARIN CO CA to VALLEJO CA,06095,06041,1
UPLAND CA,LONG BEACH CA,UPLAND CA to LONG BEACH CA,06037,06071,1
STANISLAUS CO CA,STOCKTON CA,STANISLAUS CO CA to STOCKTON CA,06077,06099,3
ONTARIO CA,LONG BEACH CA,ONTARIO CA to LONG BEACH CA,06037,06071,2
OCEANSIDE CA,SAN DIEGO CA,OCEANSIDE CA to SAN DIEGO CA,06073,06073,15
CLAREMONT CA,RIVERSIDE CA,CLAREMONT CA to RIVERSIDE CA,06065,06037,1
GALT CA,STOCKTON CA,GALT CA to STOCKTON CA,06077,06067,1
IONE CA,STOCKTON CA,IONE CA to STOCKTON CA,06077,06005,1
SAN JOAQUIN CO CA,ANTIOCH CA,SAN JOAQUIN CO CA to ANTIOCH CA,06013,06077,1
PATTERSON CA,STOCKTON CA,PATTERSON CA to STOCKTON CA,06077,06099,1
VALLEJO CA,HAYWARD CA,VALLEJO CA to HAYWARD CA,06001,06095,1
WHITTIER CA,FONTANA CA,WHITTIER CA to FONTANA CA,06071,06037,1
OAKLAND CA,SAN MATEO CO CA,OAKLAND CA to SAN MATEO CO CA,06081,06001,1
SANTA BARBARA CO CA,OXNARD CA,SANTA BARBARA CO CA to OXNARD CA,06111,06083,1
